build_id,product,release,platform
2008121709,Firefox,2.0.0.20,Linux_x86-gcc3
2008120316,Firefox,2.0.0.19,Linux_x86-gcc3
2008102919,Firefox,2.0.0.18,Linux_x86-gcc3
2008082909,Firefox,2.0.0.17,Linux_x86-gcc3
2008070204,Firefox,2.0.0.16,Linux_x86-gcc3
2008062305,Firefox,2.0.0.15,Linux_x86-gcc3
2008040414,Firefox,2.0.0.14,Linux_x86-gcc3
2008031115,Firefox,2.0.0.13,Linux_x86-gcc3
2008020121,Firefox,2.0.0.12,Linux_x86-gcc3
2007112718,Firefox,2.0.0.11,Linux_x86-gcc3
2007111504,Firefox,2.0.0.10,Linux_x86-gcc3
2007102514,Firefox,2.0.0.9,Linux_x86-gcc3
2007100816,Firefox,2.0.0.8,Linux_x86-gcc3
2007091417,Firefox,2.0.0.7,Linux_x86-gcc3
2007072517,Firefox,2.0.0.6,Linux_x86-gcc3
2007071317,Firefox,2.0.0.5,Linux_x86-gcc3
2007051502,Firefox,2.0.0.4,Linux_x86-gcc3
2007030916,Firefox,2.0.0.3,Linux_x86-gcc3
2007022001,Firefox,2.0.0.2,Linux_x86-gcc3
2006120814,Firefox,2.0.0.1,Linux_x86-gcc3
2006101022,Firefox,2.0,Linux_x86-gcc3
2006100316,Firefox,2.0,Linux_x86-gcc3
2006091817,Firefox,2.0,Linux_x86-gcc3
2006082101,Firefox,2.0b2,Linux_x86-gcc3
2006071020,Firefox,2.0b1,Linux_x86-gcc3
2006052616,Firefox,2.0a3,Linux_x86-gcc3
2006051217,Firefox,2.0a2,Linux_x86-gcc3
2006032100,Firefox,2.0a1,Linux_x86-gcc3
2008121709,Firefox,2.0.0.20,Darwin_Universal-gcc3
2008120316,Firefox,2.0.0.19,Darwin_Universal-gcc3
2008102919,Firefox,2.0.0.18,Darwin_Universal-gcc3
2008082910,Firefox,2.0.0.17,Darwin_Universal-gcc3
2008070205,Firefox,2.0.0.16,Darwin_Universal-gcc3
2008062305,Firefox,2.0.0.15,Darwin_Universal-gcc3
2008040413,Firefox,2.0.0.14,Darwin_Universal-gcc3
2008031115,Firefox,2.0.0.13,Darwin_Universal-gcc3
2008020121,Firefox,2.0.0.12,Darwin_Universal-gcc3
2007112718,Firefox,2.0.0.11,Darwin_Universal-gcc3
2007111504,Firefox,2.0.0.10,Darwin_Universal-gcc3
2007102514,Firefox,2.0.0.9,Darwin_Universal-gcc3
2007100816,Firefox,2.0.0.8,Darwin_Universal-gcc3
2007091417,Firefox,2.0.0.7,Darwin_Universal-gcc3
2007072517,Firefox,2.0.0.6,Darwin_Universal-gcc3
2007071317,Firefox,2.0.0.5,Darwin_Universal-gcc3
2007051502,Firefox,2.0.0.4,Darwin_Universal-gcc3
2007030919,Firefox,2.0.0.3,Darwin_Universal-gcc3
2007021917,Firefox,2.0.0.2,Darwin_Universal-gcc3
2006120417,Firefox,2.0.0.1,Darwin_Universal-gcc3
2006101022,Firefox,2.0,Darwin_Universal-gcc3
2006100316,Firefox,2.0,Darwin_Universal-gcc3
2006091817,Firefox,2.0,Darwin_Universal-gcc3
2006082115,Firefox,2.0b2,Darwin_Universal-gcc3
2006071020,Firefox,2.0b1,Darwin_Universal-gcc3
2006052616,Firefox,2.0a3,Darwin_Universal-gcc3
2006051203,Firefox,2.0a2,Darwin_Universal-gcc3
2006032717,Firefox,2.0a1,Darwin_Universal-gcc3
2006032113,Firefox,2.0a1,Darwin_ppc-gcc3
2008121709,Firefox,2.0.0.20,WINNT_x86-msvc
2008120119,Firefox,2.0.0.19,WINNT_x86-msvc
2008102918,Firefox,2.0.0.18,WINNT_x86-msvc
2008082909,Firefox,2.0.0.17,WINNT_x86-msvc
2008070205,Firefox,2.0.0.16,WINNT_x86-msvc
2008062306,Firefox,2.0.0.15,WINNT_x86-msvc
2008040413,Firefox,2.0.0.14,WINNT_x86-msvc
2008031114,Firefox,2.0.0.13,WINNT_x86-msvc
2008020121,Firefox,2.0.0.12,WINNT_x86-msvc
2007112718,Firefox,2.0.0.11,WINNT_x86-msvc
2007111504,Firefox,2.0.0.10,WINNT_x86-msvc
2007102514,Firefox,2.0.0.9,WINNT_x86-msvc
2007100816,Firefox,2.0.0.8,WINNT_x86-msvc
2007091417,Firefox,2.0.0.7,WINNT_x86-msvc
2007072518,Firefox,2.0.0.6,WINNT_x86-msvc
2007071317,Firefox,2.0.0.5,WINNT_x86-msvc
2007051502,Firefox,2.0.0.4,WINNT_x86-msvc
2007030919,Firefox,2.0.0.3,WINNT_x86-msvc
2007021917,Firefox,2.0.0.2,WINNT_x86-msvc
2006120418,Firefox,2.0.0.1,WINNT_x86-msvc
2006101023,Firefox,2.0,WINNT_x86-msvc
2006100319,Firefox,2.0,WINNT_x86-msvc
2006091818,Firefox,2.0,WINNT_x86-msvc
2006082101,Firefox,2.0b2,WINNT_x86-msvc
2006071020,Firefox,2.0b1,WINNT_x86-msvc
2006052616,Firefox,2.0a3,WINNT_x86-msvc
2006051217,Firefox,2.0a2,WINNT_x86-msvc
2006032100,Firefox,2.0a1,WINNT_x86-msvc
2009081209,Thunderbird,2.0.0.23,Linux_x86-gcc3
2009060501,Thunderbird,2.0.0.22,Linux_x86-gcc3
2009030215,Thunderbird,2.0.0.21,Linux_x86-gcc3
2008120920,Thunderbird,2.0.0.19,Linux_x86-gcc3
2008110519,Thunderbird,2.0.0.18,Linux_x86-gcc3
2008091421,Thunderbird,2.0.0.17,Linux_x86-gcc3
2008070711,Thunderbird,2.0.0.16,Linux_x86-gcc3
2008042108,Thunderbird,2.0.0.14,Linux_x86-gcc3
2008021305,Thunderbird,2.0.0.12,Linux_x86-gcc3
2007103104,Thunderbird,2.0.0.9,Linux_x86-gcc3
2007072816,Thunderbird,2.0.0.6,Linux_x86-gcc3
2007071612,Thunderbird,2.0.0.5,Linux_x86-gcc3
2007060411,Thunderbird,2.0.0.4,Linux_x86-gcc3
2007032622,Thunderbird,2.0.0.0,Linux_x86-gcc3
2007011615,Thunderbird,2.0b2,Linux_x86-gcc3
2006120615,Thunderbird,2.0b1,Linux_x86-gcc3
2009081210,Thunderbird,2.0.0.23,Darwin_Universal-gcc3
2009060501,Thunderbird,2.0.0.22,Darwin_Universal-gcc3
2009030215,Thunderbird,2.0.0.21,Darwin_Universal-gcc3
2008120920,Thunderbird,2.0.0.19,Darwin_Universal-gcc3
2008110519,Thunderbird,2.0.0.18,Darwin_Universal-gcc3
2008091421,Thunderbird,2.0.0.17,Darwin_Universal-gcc3
2008070710,Thunderbird,2.0.0.16,Darwin_Universal-gcc3
2008042109,Thunderbird,2.0.0.14,Darwin_Universal-gcc3
2008021304,Thunderbird,2.0.0.12,Darwin_Universal-gcc3
2007103105,Thunderbird,2.0.0.9,Darwin_Universal-gcc3
2007072816,Thunderbird,2.0.0.6,Darwin_Universal-gcc3
2007071610,Thunderbird,2.0.0.5,Darwin_Universal-gcc3
2007060411,Thunderbird,2.0.0.4,Darwin_Universal-gcc3
2007032621,Thunderbird,2.0.0.0,Darwin_Universal-gcc3
2007011615,Thunderbird,2.0b2,Darwin_Universal-gcc3
2006120615,Thunderbird,2.0b1,Darwin_Universal-gcc3
2009081210,Thunderbird,2.0.0.23,WINNT_x86-msvc
2009060502,Thunderbird,2.0.0.22,WINNT_x86-msvc
2009030215,Thunderbird,2.0.0.21,WINNT_x86-msvc
2008120920,Thunderbird,2.0.0.19,WINNT_x86-msvc
2008110519,Thunderbird,2.0.0.18,WINNT_x86-msvc
2008091421,Thunderbird,2.0.0.17,WINNT_x86-msvc
2008070808,Thunderbird,2.0.0.16,WINNT_x86-msvc
2008042104,Thunderbird,2.0.0.14,WINNT_x86-msvc
2008021305,Thunderbird,2.0.0.12,WINNT_x86-msvc
2007103104,Thunderbird,2.0.0.9,WINNT_x86-msvc
2007072817,Thunderbird,2.0.0.6,WINNT_x86-msvc
2007071611,Thunderbird,2.0.0.5,WINNT_x86-msvc
2007060411,Thunderbird,2.0.0.4,WINNT_x86-msvc
2007032620,Thunderbird,2.0.0.0,WINNT_x86-msvc
2007011615,Thunderbird,2.0b2,WINNT_x86-msvc
2006120615,Thunderbird,2.0b1,WINNT_x86-msvc
2010031218,Firefox,3.0.19,Linux_x86-gcc3
2010020219,Firefox,3.0.18,Linux_x86-gcc3
2009122115,Firefox,3.0.17,Linux_x86-gcc3
2009120206,Firefox,3.0.16,Linux_x86-gcc3
2009101600,Firefox,3.0.15,Linux_x86-gcc3
2009082707,Firefox,3.0.14,Linux_x86-gcc3
2009073021,Firefox,3.0.13,Linux_x86-gcc3
2009070610,Firefox,3.0.12,Linux_x86-gcc3
2009060214,Firefox,3.0.11,Linux_x86-gcc3
2009042315,Firefox,3.0.10,Linux_x86-gcc3
2009040820,Firefox,3.0.9,Linux_x86-gcc3
2009032608,Firefox,3.0.8,Linux_x86-gcc3
2009021906,Firefox,3.0.7,Linux_x86-gcc3
2009011912,Firefox,3.0.6,Linux_x86-gcc3
2008120121,Firefox,3.0.5,Linux_x86-gcc3
2008102920,Firefox,3.0.4,Linux_x86-gcc3
2008092416,Firefox,3.0.3,Linux_x86-gcc3
2008091618,Firefox,3.0.2,Linux_x86-gcc3
2008070206,Firefox,3.0.1,Linux_x86-gcc3
2008052912,Firefox,3.0,Linux_x86-gcc3
2008051202,Firefox,3.0,Linux_x86-gcc3
2008032619,Firefox,3.0b5,Linux_x86-gcc3
2008030318,Firefox,3.0b4,Linux_x86-gcc3
2008020513,Firefox,3.0b3,Linux_x86-gcc3
2007121016,Firefox,3.0b2,Linux_x86-gcc3
2007110903,Firefox,3.0b1,Linux_x86-gcc3
2007091211,Firefox,3.0a8,Linux_x86-gcc3
2007080209,Firefox,3.0a7,Linux_x86-gcc3
2007062911,Firefox,3.0a6,Linux_x86-gcc3
2007060517,Firefox,3.0a5,Linux_x86-gcc3
2007042705,Firefox,,Linux_x86-gcc3
2007032219,Firefox,,Linux_x86-gcc3
2007020616,Firefox,,Linux_x86-gcc3
2006120408,Firefox,3.0a1,Linux_x86-gcc3
2010031218,Firefox,3.0.19,Darwin_Universal-gcc3
2010020219,Firefox,3.0.18,Darwin_Universal-gcc3
2009122115,Firefox,3.0.17,Darwin_Universal-gcc3
2009120206,Firefox,3.0.16,Darwin_Universal-gcc3
2009101600,Firefox,3.0.15,Darwin_Universal-gcc3
2009082706,Firefox,3.0.14,Darwin_Universal-gcc3
2009073021,Firefox,3.0.13,Darwin_Universal-gcc3
2009070609,Firefox,3.0.12,Darwin_Universal-gcc3
2009060214,Firefox,3.0.11,Darwin_Universal-gcc3
2009042315,Firefox,3.0.10,Darwin_Universal-gcc3
2009040820,Firefox,3.0.9,Darwin_Universal-gcc3
2009032608,Firefox,3.0.8,Darwin_Universal-gcc3
2009021906,Firefox,3.0.7,Darwin_Universal-gcc3
2009011912,Firefox,3.0.6,Darwin_Universal-gcc3
2008120121,Firefox,3.0.5,Darwin_Universal-gcc3
2008102920,Firefox,3.0.4,Darwin_Universal-gcc3
2008092414,Firefox,3.0.3,Darwin_Universal-gcc3
2008091618,Firefox,3.0.2,Darwin_Universal-gcc3
2008070206,Firefox,3.0.1,Darwin_Universal-gcc3
2008061004,Firefox,3.0,Darwin_Universal-gcc3
2008053008,Firefox,3.0,Darwin_Universal-gcc3
2008051202,Firefox,3.0,Darwin_Universal-gcc3
2008032619,Firefox,3.0b5,Darwin_Universal-gcc3
2008030317,Firefox,3.0b4,Darwin_Universal-gcc3
2008020511,Firefox,3.0b3,Darwin_Universal-gcc3
2007121014,Firefox,3.0b2,Darwin_Universal-gcc3
2007110903,Firefox,3.0b1,Darwin_Universal-gcc3
2007091211,Firefox,3.0a8,Darwin_Universal-gcc3
2007080209,Firefox,3.0a7,Darwin_Universal-gcc3
2007062911,Firefox,3.0a6,Darwin_Universal-gcc3
2007060517,Firefox,3.0a5,Darwin_Universal-gcc3
2007042705,Firefox,,Darwin_Universal-gcc3
2007032220,Firefox,,Darwin_Universal-gcc3
2007020618,Firefox,,Darwin_Universal-gcc3
2006120408,Firefox,3.0a1,Darwin_Universal-gcc3
2010031422,Firefox,3.0.19,WINNT_x86-msvc
2010020220,Firefox,3.0.18,WINNT_x86-msvc
2009122116,Firefox,3.0.17,WINNT_x86-msvc
2009120208,Firefox,3.0.16,WINNT_x86-msvc
2009101601,Firefox,3.0.15,WINNT_x86-msvc
2009082707,Firefox,3.0.14,WINNT_x86-msvc
2009073022,Firefox,3.0.13,WINNT_x86-msvc
2009070611,Firefox,3.0.12,WINNT_x86-msvc
2009060215,Firefox,3.0.11,WINNT_x86-msvc
2009042316,Firefox,3.0.10,WINNT_x86-msvc
2009040821,Firefox,3.0.9,WINNT_x86-msvc
2009032609,Firefox,3.0.8,WINNT_x86-msvc
2009021910,Firefox,3.0.7,WINNT_x86-msvc
2009011913,Firefox,3.0.6,WINNT_x86-msvc
2008120122,Firefox,3.0.5,WINNT_x86-msvc
2008102920,Firefox,3.0.4,WINNT_x86-msvc
2008092417,Firefox,3.0.3,WINNT_x86-msvc
2008091620,Firefox,3.0.2,WINNT_x86-msvc
2008070208,Firefox,3.0.1,WINNT_x86-msvc
2008052906,Firefox,3.0,WINNT_x86-msvc
2008051206,Firefox,3.0,WINNT_x86-msvc
2008032620,Firefox,3.0b5,WINNT_x86-msvc
2008030714,Firefox,3.0b4,WINNT_x86-msvc
2008020514,Firefox,3.0b3,WINNT_x86-msvc
2007121120,Firefox,3.0b2,WINNT_x86-msvc
2007110904,Firefox,3.0b1,WINNT_x86-msvc
2007091216,Firefox,3.0a8,WINNT_x86-msvc
2007080210,Firefox,3.0a7,WINNT_x86-msvc
2007062911,Firefox,3.0a6,WINNT_x86-msvc
2007060601,Firefox,3.0a5,WINNT_x86-msvc
2007042705,Firefox,,WINNT_x86-msvc
2007032219,Firefox,,WINNT_x86-msvc
2007020617,Firefox,,WINNT_x86-msvc
2006120408,Firefox,3.0a1,WINNT_x86-msvc
20101027043603,Thunderbird,3.0.10,Linux_x86-gcc3
20101005120130,Thunderbird,3.0.9,Linux_x86-gcc3
20100914094135,Thunderbird,3.0.8,Linux_x86-gcc3
20100824084910,Thunderbird,3.0.7,Linux_x86-gcc3
20100711063716,Thunderbird,3.0.6,Linux_x86-gcc3
20100512121502,Thunderbird,3.0.5,Linux_x86-gcc3
20100317100855,Thunderbird,3.0.4,Linux_x86-gcc3
20100227141902,Thunderbird,3.0.3,Linux_x86-gcc3
20100216141034,Thunderbird,3.0.2,Linux_x86-gcc3
20100111100551,Thunderbird,3.0.1,Linux_x86-gcc3
20091204170421,Thunderbird,3.0,Linux_x86-gcc3
20091130195224,Thunderbird,3.0,Linux_x86-gcc3
20091121181041,Thunderbird,3.0,Linux_x86-gcc3
20090915180501,Thunderbird,3.0b4,Linux_x86-gcc3
20090715134828,Thunderbird,3.0b3,Linux_x86-gcc3
20090223124157,Thunderbird,3.0b2,Linux_x86-gcc3
20081204114258,Thunderbird,3.0b1,Linux_x86-gcc3
20081006094447,Thunderbird,3.0a3,Linux_x86-gcc3
2008072418,Thunderbird,3.0a2,Linux_x86-gcc3
2008050714,Thunderbird,3.0a1,Linux_x86-gcc3
20101027073108,Thunderbird,3.0.10,Darwin_Universal-gcc3
20101005143124,Thunderbird,3.0.9,Darwin_Universal-gcc3
20100914175334,Thunderbird,3.0.8,Darwin_Universal-gcc3
20100824160359,Thunderbird,3.0.7,Darwin_Universal-gcc3
20100711093830,Thunderbird,3.0.6,Darwin_Universal-gcc3
20100512151045,Thunderbird,3.0.5,Darwin_Universal-gcc3
20100317134139,Thunderbird,3.0.4,Darwin_Universal-gcc3
20100227170704,Thunderbird,3.0.3,Darwin_Universal-gcc3
20100216163452,Thunderbird,3.0.2,Darwin_Universal-gcc3
20100111130305,Thunderbird,3.0.1,Darwin_Universal-gcc3
20091204202227,Thunderbird,3.0,Darwin_Universal-gcc3
20091130225757,Thunderbird,3.0,Darwin_Universal-gcc3
20091121212410,Thunderbird,3.0,Darwin_Universal-gcc3
20090915182611,Thunderbird,3.0b4,Darwin_Universal-gcc3
20090715142648,Thunderbird,3.0b3,Darwin_Universal-gcc3
20090223121634,Thunderbird,3.0b2,Darwin_Universal-gcc3
20081204113938,Thunderbird,3.0b1,Darwin_Universal-gcc3
20081006093807,Thunderbird,3.0a3,Darwin_Universal-gcc3
2008072822,Thunderbird,3.0a2,Darwin_Universal-gcc3
2008050714,Thunderbird,3.0a1,Darwin_Universal-gcc3
20101027060926,Thunderbird,3.0.10,WINNT_x86-msvc
20101005115017,Thunderbird,3.0.9,WINNT_x86-msvc
20100914151303,Thunderbird,3.0.8,WINNT_x86-msvc
20100824131908,Thunderbird,3.0.7,WINNT_x86-msvc
20100711065956,Thunderbird,3.0.6,WINNT_x86-msvc
20100512122420,Thunderbird,3.0.5,WINNT_x86-msvc
20100317103207,Thunderbird,3.0.4,WINNT_x86-msvc
20100227143138,Thunderbird,3.0.3,WINNT_x86-msvc
20100216161403,Thunderbird,3.0.2,WINNT_x86-msvc
20100111101938,Thunderbird,3.0.1,WINNT_x86-msvc
20091204171430,Thunderbird,3.0,WINNT_x86-msvc
20091130201643,Thunderbird,3.0,WINNT_x86-msvc
20091121183158,Thunderbird,3.0,WINNT_x86-msvc
20090915181920,Thunderbird,3.0b4,WINNT_x86-msvc
20090715140311,Thunderbird,3.0b3,WINNT_x86-msvc
20090223175111,Thunderbird,3.0b2,WINNT_x86-msvc
20081204115318,Thunderbird,3.0b1,WINNT_x86-msvc
20081006095651,Thunderbird,3.0a3,WINNT_x86-msvc
2008072418,Thunderbird,3.0a2,WINNT_x86-msvc
2008050715,Thunderbird,3.0a1,WINNT_x86-msvc
20110420144310,Firefox,3.5.19,Linux_x86-gcc3
20110319140258,Firefox,3.5.18,Linux_x86-gcc3
20110319140258,Firefox,3.5.18,Linux_x86-gcc3
20110121161846,Firefox,3.5.17,Linux_x86-gcc3
20110121161846,Firefox,3.5.17,Linux_x86-gcc3
20101130074614,Firefox,3.5.16,Linux_x86-gcc3
20101130074614,Firefox,3.5.16,Linux_x86-gcc3
20101026195820,Firefox,3.5.15,Linux_x86-gcc3
20101026195820,Firefox,3.5.15,Linux_x86-gcc3
20101001163017,Firefox,3.5.14,Linux_x86-gcc3
20101001163017,Firefox,3.5.14,Linux_x86-gcc3
20100914121211,Firefox,3.5.13,Linux_x86-gcc3
20100914121211,Firefox,3.5.13,Linux_x86-gcc3
20100824101110,Firefox,3.5.12,Linux_x86-gcc3
20100824101110,Firefox,3.5.12,Linux_x86-gcc3
20100701014043,Firefox,3.5.11,Linux_x86-gcc3
20100701014043,Firefox,3.5.11,Linux_x86-gcc3
20100504085637,Firefox,3.5.10,Linux_x86-gcc3
20100504085637,Firefox,3.5.10,Linux_x86-gcc3
20100315075757,Firefox,3.5.9,Linux_x86-gcc3
20100315075757,Firefox,3.5.9,Linux_x86-gcc3
20100202153512,Firefox,3.5.8,Linux_x86-gcc3
20100202153512,Firefox,3.5.8,Linux_x86-gcc3
20091221152502,Firefox,3.5.7,Linux_x86-gcc3
20091221152502,Firefox,3.5.7,Linux_x86-gcc3
20091201204959,Firefox,3.5.6,Linux_x86-gcc3
20091201204959,Firefox,3.5.6,Linux_x86-gcc3
20091102141836,Firefox,3.5.5,Linux_x86-gcc3
20091102141836,Firefox,3.5.5,Linux_x86-gcc3
20091016081727,Firefox,3.5.4,Linux_x86-gcc3
20091016081727,Firefox,3.5.4,Linux_x86-gcc3
20090824085743,Firefox,3.5.3,Linux_x86-gcc3
20090824085743,Firefox,3.5.3,Linux_x86-gcc3
20090729211829,Firefox,3.5.2,Linux_x86-gcc3
20090729211829,Firefox,3.5.2,Linux_x86-gcc3
20090715083816,Firefox,3.5.1,Linux_x86-gcc3
20090715083816,Firefox,3.5.1,Linux_x86-gcc3
20110319140258,Firefox,3.5.18,Linux_x86-gcc3
20110121161846,Firefox,3.5.17,Linux_x86-gcc3
20110121161846,Firefox,3.5.17,Linux_x86-gcc3
20101130074614,Firefox,3.5.16,Linux_x86-gcc3
20101130074614,Firefox,3.5.16,Linux_x86-gcc3
20101026195820,Firefox,3.5.15,Linux_x86-gcc3
20101026195820,Firefox,3.5.15,Linux_x86-gcc3
20101001163017,Firefox,3.5.14,Linux_x86-gcc3
20101001163017,Firefox,3.5.14,Linux_x86-gcc3
20100914121211,Firefox,3.5.13,Linux_x86-gcc3
20100914121211,Firefox,3.5.13,Linux_x86-gcc3
20100824101110,Firefox,3.5.12,Linux_x86-gcc3
20100824101110,Firefox,3.5.12,Linux_x86-gcc3
20100701014043,Firefox,3.5.11,Linux_x86-gcc3
20100701014043,Firefox,3.5.11,Linux_x86-gcc3
20100504085637,Firefox,3.5.10,Linux_x86-gcc3
20100504085637,Firefox,3.5.10,Linux_x86-gcc3
20100315075757,Firefox,3.5.9,Linux_x86-gcc3
20100315075757,Firefox,3.5.9,Linux_x86-gcc3
20100202153512,Firefox,3.5.8,Linux_x86-gcc3
20100202153512,Firefox,3.5.8,Linux_x86-gcc3
20091221152502,Firefox,3.5.7,Linux_x86-gcc3
20091221152502,Firefox,3.5.7,Linux_x86-gcc3
20091201204959,Firefox,3.5.6,Linux_x86-gcc3
20091201204959,Firefox,3.5.6,Linux_x86-gcc3
20091102141836,Firefox,3.5.5,Linux_x86-gcc3
20091102141836,Firefox,3.5.5,Linux_x86-gcc3
20091016081727,Firefox,3.5.4,Linux_x86-gcc3
20091016081727,Firefox,3.5.4,Linux_x86-gcc3
20090824085743,Firefox,3.5.3,Linux_x86-gcc3
20090824085743,Firefox,3.5.3,Linux_x86-gcc3
20090729211829,Firefox,3.5.2,Linux_x86-gcc3
20090729211829,Firefox,3.5.2,Linux_x86-gcc3
20090715083816,Firefox,3.5.1,Linux_x86-gcc3
20090715083816,Firefox,3.5.1,Linux_x86-gcc3
20090624012820,Firefox,3.5,Linux_x86-gcc3
20090624012820,Firefox,3.5,Linux_x86-gcc3
20090616212416,Firefox,3.5,Linux_x86-gcc3
20090616212416,Firefox,3.5,Linux_x86-gcc3
20090615155223,Firefox,3.5,Linux_x86-gcc3
20090615155223,Firefox,3.5,Linux_x86-gcc3
20090605144815,Firefox,3.5b99,Linux_x86-gcc3
20090605144815,Firefox,3.5b99,Linux_x86-gcc3
20090423192432,Firefox,3.5b4,Linux_x86-gcc3
20090423192432,Firefox,3.5b4,Linux_x86-gcc3
20090305134136,Firefox,3.1b3,Linux_x86-gcc3
20090305134136,Firefox,3.1b3,Linux_x86-gcc3
20081201061202,Firefox,3.1b2,Linux_x86-gcc3
20081201061202,Firefox,3.1b2,Linux_x86-gcc3
20081007112159,Firefox,3.1b1,Linux_x86-gcc3
20081007112159,Firefox,3.1b1,Linux_x86-gcc3
20080829071937,Firefox,3.1a2,Linux_x86-gcc3
2008072306,Firefox,3.1a1,Linux_x86-gcc3
20110420144310,Firefox,3.5.19,Darwin_x86-gcc3-u-ppc-i386
20110319140258,Firefox,3.5.18,Darwin_x86-gcc3-u-ppc-i386
20110319140258,Firefox,3.5.18,Darwin_x86-gcc3-u-ppc-i386
